Source,Target,Trade_Id,Bitcoins,Money,Money_Rate,Date
100,122,35833,42,31.08,0.74,2011-04-04
100,3966,35834,42.617,31.536,0.73998639,2011-04-04
895,2824,35835,10,7,0.7,2011-04-04
895,646,35836,4.78,3.313,0.693096234,2011-04-04
388,2824,35837,10,7,0.7,2011-04-04
388,3111,35838,10,6.899,0.6899,2011-04-04
388,2824,35842,20.662,13.638,0.66005227,2011-04-04
388,3461,35843,12.406,8.189,0.66008383,2011-04-04
388,1375,35845,20,13.004,0.6502,2011-04-04
388,1496,35846,69.985,45.49,0.649996428,2011-04-04
388,646,35848,22.947,14.777,0.643962174,2011-04-04
3966,646,35849,42.34,28.791,0.679995276,2011-04-04
2824,3258,35850,10,6.998,0.6998,2011-04-04
2824,2718,35851,20,13.996,0.6998,2011-04-04
3461,2718,35852,12,8.398,0.699833333,2011-04-04
3461,1353,35853,0.33,0.23,0.696969697,2011-04-04
2824,1353,35854,20,14.5,0.725,2011-04-04
1375,1353,35855,10,7.395,0.7395,2011-04-04
100,1353,35856,5.383,3.983,0.739921977,2011-04-04
1375,1353,35857,14.287,10.708,0.749492546,2011-04-04
1375,1353,35858,0.713,0.534,0.748948107,2011-04-04
1496,1353,35859,9.287,7.104,0.764940239,2011-04-04
293,2824,35860,30,20.013,0.6671,2011-04-04
293,646,35861,10,6.67,0.667,2011-04-04
293,199,35862,10,6.971,0.6971,2011-04-04
293,199,35863,13,9.076,0.698153846,2011-04-04
293,199,35864,23,16.097,0.699869565,2011-04-04
293,199,35865,15,10.498,0.699866667,2011-04-04
293,199,35866,15,10.498,0.699866667,2011-04-04
293,199,35867,15,10.498,0.699866667,2011-04-04
293,199,35868,15,10.498,0.699866667,2011-04-04
293,199,35869,7,4.899,0.699857143,2011-04-04
293,2824,35870,10,6.992,0.6992,2011-04-04
293,2824,35871,11.825,8.259,0.698435518,2011-04-04
293,199,35872,15,10.473,0.6982,2011-04-04
293,199,35873,15,10.473,0.6982,2011-04-04
293,199,35874,15,10.473,0.6982,2011-04-04
293,199,35875,15,10.473,0.6982,2011-04-04
293,199,35876,15,10.473,0.6982,2011-04-04
293,199,35877,2,1.396,0.698,2011-04-04
293,199,35878,15,10.458,0.6972,2011-04-04
293,199,35879,15,10.458,0.6972,2011-04-04
293,199,35880,15,10.458,0.6972,2011-04-04
293,199,35882,15,10.458,0.6972,2011-04-04
293,199,35883,15,10.458,0.6972,2011-04-04
293,3966,35884,10.87,7.25,0.666973321,2011-04-04
293,1353,35885,33.165,23.181,0.698959747,2011-04-04
